iteration,no_cluster,frequent_term_set,cluster_candidate,support,doc_frequency,eo_formula,eo
1,11,{bayar},"{D80,D124,D130,D154,D174,D384,D387,D451}",8,"f80=8, f124=4, f130=3, f154=3, f174=2, f384=3, f387=5, f451=8",EO = ((-1/8)*LN(1/8)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/5)*LN(1/5)) + ((-1/8)*LN(1/8)),2.633507
1,12,{bebas},"{D43,D77,D89,D98,D151,D172,D213,D256,D429,D462}",10,"f43=13, f77=5, f89=7, f98=10, f151=4, f172=7, f213=9, f256=4, f429=19, f462=9",EO = ((-1/13)*LN(1/13)) + ((-1/5)*LN(1/5)) + ((-1/7)*LN(1/7)) + ((-1/10)*LN(1/10)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/9)*LN(1/9)) + ((-1/4)*LN(1/4)) + ((-1/19)*LN(1/19)) + ((-1/9)*LN(1/9)),2.641814
1,13,{begini},"{D15,D132,D272,D347,D390,D459,D481,D482}",8,"f15=15, f132=9, f272=7, f347=5, f390=3, f459=3, f481=2, f482=7",EO = ((-1/15)*LN(1/15)) + ((-1/9)*LN(1/9)) + ((-1/7)*LN(1/7)) + ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/7)*LN(1/7)),2.381516
1,14,{benar},"{D32,D89,D92,D125,D152,D166,D189,D190,D196,D213,D261,D294,D327,D394,D444,D469,D482,D490}",18,"f32=7, f89=7, f92=1, f125=4, f152=2, f166=7, f189=10, f190=10, f196=3, f213=9, f261=4, f294=3, f327=9, f394=8, f444=4, f469=3, f482=7, f490=2",EO = ((-1/7)*LN(1/7)) + ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/2)*LN(1/2)) + ((-1/7)*LN(1/7)) + ((-1/10)*LN(1/10)) + ((-1/10)*LN(1/10)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/8)*LN(1/8)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/7)*LN(1/7)) + ((-1/2)*LN(1/2)),5.152148
1,15,{bener},"{D17,D117,D134,D150,D231,D370,D421,D431}",8,"f17=17, f117=9, f134=6, f150=16, f231=21, f370=9, f421=2, f431=3",EO = ((-1/17)*LN(1/17)) + ((-1/9)*LN(1/9)) + ((-1/6)*LN(1/6)) + ((-1/16)*LN(1/16)) + ((-1/21)*LN(1/21)) + ((-1/9)*LN(1/9)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)),1.9846
1,16,{beri},"{D7,D61,D181,D187,D267,D322,D414,D429}",8,"f7=7, f61=4, f181=2, f187=5, f267=6, f322=12, f414=5, f429=19",EO = ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/2)*LN(1/2)) + ((-1/5)*LN(1/5)) + ((-1/6)*LN(1/6)) + ((-1/12)*LN(1/12)) + ((-1/5)*LN(1/5)) + ((-1/19)*LN(1/19)),2.275582
1,17,{besar},"{D15,D32,D38,D68,D88,D113,D141,D402}",8,"f15=15, f32=7, f38=12, f68=14, f88=8, f113=15, f141=2, f402=6",EO = ((-1/15)*LN(1/15)) + ((-1/7)*LN(1/7)) + ((-1/12)*LN(1/12)) + ((-1/14)*LN(1/14)) + ((-1/8)*LN(1/8)) + ((-1/15)*LN(1/15)) + ((-1/2)*LN(1/2)) + ((-1/6)*LN(1/6)),1.939771
1,18,{biar},"{D67,D135,D143,D175,D308,D309,D336,D428,D468,D483}",10,"f67=3, f135=7, f143=3, f175=5, f308=4, f309=9, f336=7, f428=3, f468=5, f483=10",EO = ((-1/3)*LN(1/3)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/9)*LN(1/9)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/5)*LN(1/5)) + ((-1/10)*LN(1/10)),3.11933
1,19,{buat},"{D32,D34,D39,D53,D95,D99,D130,D156,D163,D185,D191,D198,D207,D209,D221,D222,D359,D365,D401,D435,D445,D456,D484}",23,"f32=7, f34=4, f39=7, f53=9, f95=17, f99=2, f130=3, f156=6, f163=14, f185=3, f191=5, f198=4, f207=13, f209=12, f221=4, f222=4, f359=16, f365=8, f401=27, f435=3, f445=5, f456=10, f484=4",EO = ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/9)*LN(1/9)) + ((-1/17)*LN(1/17)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/6)*LN(1/6)) + ((-1/14)*LN(1/14)) + ((-1/3)*LN(1/3)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/13)*LN(1/13)) + ((-1/12)*LN(1/12)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/16)*LN(1/16)) + ((-1/8)*LN(1/8)) + ((-1/27)*LN(1/27)) + ((-1/3)*LN(1/3)) + ((-1/5)*LN(1/5)) + ((-1/10)*LN(1/10)) + ((-1/4)*LN(1/4)),6.465653
1,20,{bukan},"{D20,D51,D57,D80,D105,D111,D186,D208,D226,D289,D325,D352,D389,D405}",14,"f20=4, f51=8, f57=10, f80=8, f105=3, f111=15, f186=2, f208=4, f226=3, f289=4, f325=4, f352=6, f389=8, f405=7",EO = ((-1/4)*LN(1/4)) + ((-1/8)*LN(1/8)) + ((-1/10)*LN(1/10)) + ((-1/8)*LN(1/8)) + ((-1/3)*LN(1/3)) + ((-1/15)*LN(1/15)) + ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/6)*LN(1/6)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)),4.232476
1,21,{bukti},"{D29,D105,D141,D151,D240,D249,D285,D325,D357,D463,D479}",11,"f29=5, f105=3, f141=2, f151=4, f240=5, f249=3, f285=2, f325=4, f357=11, f463=2, f479=8",EO = ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)) + ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)) + ((-1/11)*LN(1/11)) + ((-1/2)*LN(1/2)) + ((-1/8)*LN(1/8)),3.586972
1,22,{cara},"{D64,D148,D161,D239,D259,D283,D482,D488}",8,"f64=6, f148=9, f161=2, f239=10, f259=4, f283=5, f482=7, f488=2",EO = ((-1/6)*LN(1/6)) + ((-1/9)*LN(1/9)) + ((-1/2)*LN(1/2)) + ((-1/10)*LN(1/10)) + ((-1/4)*LN(1/4)) + ((-1/5)*LN(1/5)) + ((-1/7)*LN(1/7)) + ((-1/2)*LN(1/2)),2.412617
1,23,{didik},"{D68,D69,D113,D156,D231,D276,D329,D365}",8,"f68=14, f69=1, f113=15, f156=6, f231=21, f276=4, f329=3, f365=8",EO = ((-1/14)*LN(1/14)) + ((-1/15)*LN(1/15)) + ((-1/6)*LN(1/6)) + ((-1/21)*LN(1/21)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)),1.785352
1,24,{dunia},"{D5,D22,D36,D38,D70,D111,D120,D177,D195,D208,D225,D248,D251,D252,D264,D329}",16,"f5=4, f22=3, f36=8, f38=12, f70=3, f111=15, f120=4, f177=8, f195=3, f208=4, f225=1, f248=10, f251=5, f252=9, f264=7, f329=3",EO = ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)) + ((-1/12)*LN(1/12)) + ((-1/3)*LN(1/3)) + ((-1/15)*LN(1/15)) + ((-1/4)*LN(1/4)) + ((-1/8)*LN(1/8)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/10)*LN(1/10)) + ((-1/5)*LN(1/5)) + ((-1/9)*LN(1/9)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)),4.486279
1,25,{enak},"{D98,D131,D216,D255,D275,D326,D393,D406}",8,"f98=10, f131=16, f216=11, f255=8, f275=12, f326=3, f393=8, f406=10",EO = ((-1/10)*LN(1/10)) + ((-1/16)*LN(1/16)) + ((-1/11)*LN(1/11)) + ((-1/8)*LN(1/8)) + ((-1/12)*LN(1/12)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)) + ((-1/10)*LN(1/10)),1.944934
1,26,{gila},"{D72,D119,D150,D282,D291,D317,D345,D370,D401,D425,D446,D482}",12,"f72=2, f119=1, f150=16, f282=2, f291=1, f317=2, f345=4, f370=9, f401=27, f425=4, f446=3, f482=7",EO = ((-1/2)*LN(1/2)) + ((-1/16)*LN(1/16)) + ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)) + ((-1/9)*LN(1/9)) + ((-1/27)*LN(1/27)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/7)*LN(1/7)),2.91655
1,27,{gojek},"{D15,D17,D117,D150,D163,D183,D216,D231,D255,D258,D275,D278,D286,D307,D316,D332,D386,D479}",18,"f15=15, f17=17, f117=9, f150=16, f163=14, f183=13, f216=11, f231=21, f255=8, f258=4, f275=12, f278=8, f286=8, f307=3, f316=4, f332=3, f386=3, f479=8",EO = ((-1/15)*LN(1/15)) + ((-1/17)*LN(1/17)) + ((-1/9)*LN(1/9)) + ((-1/16)*LN(1/16)) + ((-1/14)*LN(1/14)) + ((-1/13)*LN(1/13)) + ((-1/11)*LN(1/11)) + ((-1/21)*LN(1/21)) + ((-1/8)*LN(1/8)) + ((-1/4)*LN(1/4)) + ((-1/12)*LN(1/12)) + ((-1/8)*LN(1/8)) + ((-1/8)*LN(1/8)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)),4.551951
1,28,{hakim},"{D18,D22,D43,D47,D53,D81,D88,D101,D116,D177,D195,D218,D227,D270,D297,D303,D389,D405,D454,D456}",20,"f18=2, f22=3, f43=13, f47=4, f53=9, f81=3, f88=8, f101=6, f116=2, f177=8, f195=3, f218=11, f227=3, f270=14, f297=6, f303=7, f389=8, f405=7, f454=9, f456=10",EO = ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/13)*LN(1/13)) + ((-1/4)*LN(1/4)) + ((-1/9)*LN(1/9)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)) + ((-1/6)*LN(1/6)) + ((-1/2)*LN(1/2)) + ((-1/8)*LN(1/8)) + ((-1/3)*LN(1/3)) + ((-1/11)*LN(1/11)) + ((-1/3)*LN(1/3)) + ((-1/14)*LN(1/14)) + ((-1/6)*LN(1/6)) + ((-1/7)*LN(1/7)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/9)*LN(1/9)) + ((-1/10)*LN(1/10)),5.759884
1,29,{hancur},"{D129,D164,D206,D221,D222,D314,D320,D445}",8,"f129=3, f164=2, f206=2, f221=4, f222=4, f314=7, f320=4, f445=5",EO = ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/5)*LN(1/5)),2.698947
1,30,{hidup},"{D108,D111,D113,D122,D135,D138,D143,D197,D209,D252,D374,D479}",12,"f108=7, f111=15, f113=15, f122=2, f135=7, f138=3, f143=3, f197=2, f209=12, f252=9, f374=3, f479=8",EO = ((-1/7)*LN(1/7)) + ((-1/15)*LN(1/15)) + ((-1/15)*LN(1/15)) + ((-1/2)*LN(1/2)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/12)*LN(1/12)) + ((-1/9)*LN(1/9)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)),3.419949
1,31,{hukum},"{D8,D20,D35,D39,D46,D47,D59,D68,D70,D72,D73,D115,D118,D121,D124,D136,D148,D166,D167,D170,D175,D182,D185,D200,D213,D218,D221,D222,D252,D253,D257,D270,D282,D286,D309,D314,D325,D335,D338,D345,D348,D352,D359,D366,D367,D370,D375,D378,D383,D389,D396,D398,D401,D404,D405,D409,D422,D442,D459,D462,D471,D482,D495}",63,"f8=3, f20=4, f35=4, f39=7, f46=4, f47=4, f59=7, f68=14, f70=3, f72=2, f73=3, f115=1, f118=9, f121=5, f124=4, f136=3, f148=9, f166=7, f167=4, f170=13, f175=5, f182=5, f185=3, f200=5, f213=9, f218=11, f221=4, f222=4, f252=9, f253=2, f257=5, f270=14, f282=2, f286=8, f309=9, f314=7, f325=4, f335=2, f338=5, f345=4, f348=3, f352=6, f359=16, f366=22, f367=2, f370=9, f375=6, f378=3, f383=2, f389=8, f396=7, f398=2, f401=27, f404=8, f405=7, f409=3, f422=6, f442=4, f459=3, f462=9, f471=9, f482=7, f495=3",EO = ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/14)*LN(1/14)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/13)*LN(1/13)) + ((-1/5)*LN(1/5)) + ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/5)*LN(1/5)) + ((-1/9)*LN(1/9)) + ((-1/11)*LN(1/11)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/9)*LN(1/9)) + ((-1/2)*LN(1/2)) + ((-1/5)*LN(1/5)) + ((-1/14)*LN(1/14)) + ((-1/2)*LN(1/2)) + ((-1/8)*LN(1/8)) + ((-1/9)*LN(1/9)) + ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/2)*LN(1/2)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/6)*LN(1/6)) + ((-1/16)*LN(1/16)) + ((-1/22)*LN(1/22)) + ((-1/2)*LN(1/2)) + ((-1/9)*LN(1/9)) + ((-1/6)*LN(1/6)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/2)*LN(1/2)) + ((-1/27)*LN(1/27)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/6)*LN(1/6)) + ((-1/4)*LN(1/4)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/9)*LN(1/9)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)),18.634519
1,32,{ikut},"{D131,D155,D205,D250,D255,D293,D352,D359,D388}",9,"f131=16, f155=8, f205=2, f250=5, f255=8, f293=9, f352=6, f359=16, f388=3",EO = ((-1/16)*LN(1/16)) + ((-1/8)*LN(1/8)) + ((-1/2)*LN(1/2)) + ((-1/5)*LN(1/5)) + ((-1/8)*LN(1/8)) + ((-1/9)*LN(1/9)) + ((-1/6)*LN(1/6)) + ((-1/16)*LN(1/16)) + ((-1/3)*LN(1/3)),2.443862
1,33,{indonesia},"{D3,D6,D35,D68,D93,D107,D129,D132,D136,D156,D162,D172,D200,D227,D231,D241,D259,D270,D276,D314,D340,D345,D358,D370,D374,D375,D415,D426,D428,D442,D467,D479,D482,D485,D493}",35,"f3=10, f6=5, f35=4, f68=14, f93=5, f107=3, f129=3, f132=9, f136=3, f156=6, f162=13, f172=7, f200=5, f227=3, f231=21, f241=3, f259=4, f270=14, f276=4, f314=7, f340=3, f345=4, f358=2, f370=9, f374=3, f375=6, f415=8, f426=2, f428=3, f442=4, f467=1, f479=8, f482=7, f485=2, f493=6",EO = ((-1/10)*LN(1/10)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/14)*LN(1/14)) + ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/3)*LN(1/3)) + ((-1/6)*LN(1/6)) + ((-1/13)*LN(1/13)) + ((-1/7)*LN(1/7)) + ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/21)*LN(1/21)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/14)*LN(1/14)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/2)*LN(1/2)) + ((-1/9)*LN(1/9)) + ((-1/3)*LN(1/3)) + ((-1/6)*LN(1/6)) + ((-1/8)*LN(1/8)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/2)*LN(1/2)) + ((-1/6)*LN(1/6)),10.355406
